2015-03-11 15:29:40 [INFO] [org.mortbay.log.Slf4jLog.info(Slf4jLog.java:67)] org.mortbay.log - Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog
2015-03-11 15:29:40 [INFO] [org.mortbay.log.Slf4jLog.info(Slf4jLog.java:67)] org.mortbay.log - jetty-6.1.26
2015-03-11 15:29:40 [INFO] [org.mortbay.log.Slf4jLog.info(Slf4jLog.java:67)] org.mortbay.log - Started SelectChannelConnector@0.0.0.0:50026
2015-03-11 15:56:56 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 15:56:56 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-11 15:56:56 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 15:56:56 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-11 16:05:26 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 16:05:26 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-11 16:05:26 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 16:05:26 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-11 16:11:27 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 16:11:27 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-11 16:11:27 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 16:11:27 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-11 16:21:43 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 16:21:43 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-11 16:21:43 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 16:21:43 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-11 16:24:53 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 16:24:53 [INFO] [com.autohome.kafka.service.TestLOGInfo.testLogWrite(TestLOGInfo.java:29)] com.autohome.kafka.ServerBootstrap - file sis
2015-03-11 16:24:53 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
2015-03-11 16:24:53 [INFO] [com.autohome.kafka.service.TestLOGInfo.test(TestLOGInfo.java:25)] com.autohome.kafka.ServerBootstrap - log test
2015-03-11 16:30:47 [INFO] [com.autohome.kafka.service.TestLOGInfo.setUp(TestLOGInfo.java:19)] com.autohome.kafka.ServerBootstrap - log write
